RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          650     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.608D+00  5.781D+03
    1    2     1     0  ---    0  3.8D-02  1.0D+00  3.522D+00  5.756D+03
    2    3     0     0  con    0  1.0D+00  1.5D+01  3.130D+00  5.651D+03
    3    4     0     0  con    0  1.0D+00  7.3D+00  2.956D+00  5.559D+03
    4    5     0     0  con    0  1.0D+00  9.6D+00  2.794D+00  5.485D+03
    5    6     0     0  con    0  1.0D+00  7.0D+00  2.708D+00  5.428D+03
    6    7     0     0  con    0  1.0D+00  8.7D+00  1.988D+00  5.384D+03
    7    8     0     0  con    0  1.0D+00  5.3D+00  1.600D+00  5.352D+03
    8    9     0     0  con    0  1.0D+00  5.5D+00  1.889D+00  5.325D+03
    9   10     0     0  con    0  1.0D+00  5.1D+00  1.809D+00  5.306D+03
   10   11     0     0  con    0  1.0D+00  4.4D+00  1.347D+00  5.288D+03
   11   12     0     0  con    0  1.0D+00  4.2D+00  1.586D+00  5.274D+03
   12   13     0     0  con    0  1.0D+00  3.3D+00  9.651D-01  5.264D+03
   13   14     0     0  con    0  1.0D+00  2.7D+00  7.763D-01  5.256D+03
   14   15     0     0  con    0  1.0D+00  2.1D+00  9.913D-01  5.250D+03
   15   16     0     0  con    0  1.0D+00  2.6D+00  7.422D-01  5.245D+03
   16   17     0     0  con    0  1.0D+00  2.0D+00  7.692D-01  5.241D+03
   17   18     0     0  con    0  1.0D+00  1.7D+00  7.468D-01  5.238D+03
   18   19     0     0  con    0  1.0D+00  1.5D+00  6.167D-01  5.236D+03
   19   20     0     0  con    0  1.0D+00  1.4D+00  4.866D-01  5.234D+03
   20   21     0     0  con    0  1.0D+00  1.6D+00  6.799D-01  5.233D+03
   21   22     0     0  con    0  1.0D+00  8.3D-01  4.857D-01  5.231D+03
   22   23     0     0  con    0  1.0D+00  8.1D-01  6.413D-01  5.230D+03
   23   24     0     0  con    0  1.0D+00  7.3D-01  5.974D-01  5.229D+03
   24   25     0     0  con    0  1.0D+00  9.3D-01  4.493D-01  5.228D+03
   25   26     0     0  con    0  1.0D+00  8.0D-01  5.401D-01  5.227D+03
   26   27     0     0  con    0  1.0D+00  9.1D-01  6.224D-01  5.227D+03
   27   28     0     0  con    0  1.0D+00  9.0D-01  5.742D-01  5.226D+03
   28   29     0     0  con    0  1.0D+00  1.2D+00  5.862D-01  5.225D+03
   29   30     0     0  con    0  1.0D+00  8.2D-01  5.890D-01  5.223D+03
   30   31     0     0  con    0  1.0D+00  1.4D+00  6.594D-01  5.222D+03
   31   32     0     0  con    0  1.0D+00  1.5D+00  7.411D-01  5.220D+03
   32   33     0     0  con    0  1.0D+00  1.3D+00  6.664D-01  5.219D+03
   33   34     0     0  con    0  1.0D+00  1.9D+00  7.343D-01  5.218D+03
   34   35     0     0  con    0  1.0D+00  1.3D+00  7.665D-01  5.217D+03
   35   36     0     0  con    0  1.0D+00  9.6D-01  6.331D-01  5.215D+03
   36   37     0     0  con    0  1.0D+00  1.3D+00  6.434D-01  5.214D+03
   37   38     0     0  con    0  1.0D+00  7.2D-01  5.619D-01  5.213D+03
   38   39     0     0  con    0  1.0D+00  8.6D-01  5.696D-01  5.212D+03
